Sample_ID,SpC_microsiemens_per_cm,P_mg_per_L_as_P,P_mg_per_L_as_PO4,F_mg_per_L,Cl_mg_per_L,SO4_mg_per_L_as_SO4,Na_mg_per_L,Ca_mg_per_L,Mg_mg_per_L,K_mg_per_L,Fe_mg_per_L,NPOC_mg_L
PP48.000000,69.2,0.514468827,1.577457937,NA,3.0455,0.7671879,3.667022433,7.40402036,1.76905368,0.318171794,0.011767488,0.813333333
PP48.000001,62.1,0.017998797,0.055187688,0.0884805,2.8049,0.5178102,3.629330622,6.782191052,1.658621343,0.291525647,0.051121978,0.693333333
PP48.000002,69.7,0.021499284,0.065920839,0.0760233,3.0609,0.4960322,3.730587483,7.814002529,1.809429102,0.298170235,0.019900021,0.56
PP48.000003,65.4,0.029104258,0.089239116,0.10978176,2.8442665,0.8534454,3.465651917,7.143928774,1.442482346,0.244327902,0.032306496,0.556666667
PP48.000004,42.3,1.74323016,5.345070702,NA,1.6362686,0.3630099,2.033453925,NA,0.872595697,0.173201378,0.049317102,0.55
PP48.000005,66.4,0.020140144,0.061753459,0.0490327,3.1825,0.5766108,3.645769008,7.069660515,1.755680994,0.312272966,0.007551196,0.583333333
PP48.000006,68.5,0.025102594,0.076969261,0.08210432,3.3808822,0.5613662,3.590028519,8.020311377,1.655445188,0.288101106,0.02058191,0.616666667
PP48.000007,62.8,0.040101491,0.122958696,0.2317383,3.5044,1.8432093,4.320000291,4.944194311,1.660496118,0.548719386,0.005160893,0.64
PP48.000008,66.5,0.021987426,0.067417573,0.0656423,2.8201,0.6833949,3.583962394,7.203551846,1.706584248,0.277026752,0.004142141,0.61
PP48.000009,71.8,NA,NA,0.0463082,3.2118115,0.617989,3.494803134,7.888439946,1.550285466,0.26803165,0.039209055,0.68
PP48.000010,70.4,0.01967083,0.060314454,0.0635661,2.9497,0.6710724,3.942509574,8.019580754,1.880959438,0.318202848,0.004065001,0.563333333
PP48.000011,70.6,0.016219196,0.049731098,0.0573375,2.922,0.4394094,3.707203707,7.969404024,1.86419084,0.298331258,0.005918799,0.683333333
PP48.000012,75.2,0.163592926,0.501606601,0.17798688,3.3931337,1.0974309,4.189334838,7.910349524,1.613998186,0.524041034,0.021462951,0.583333333
PP48.000013,70.3,0.153603906,0.470978392,0.0830928,3.1236007,0.5156324,3.515689419,8.150371558,1.677785747,0.328015113,0.023462003,0.586666667
PP48.000014,65.8,0.022641651,0.069423549,0.114433,2.7361,0.6932529,3.775443165,7.04070826,1.677050643,0.302724812,0.014867902,0.646666667
PP48.000015,70.3,0.029850545,0.09152737,0.06035776,2.9716821,0.7597944,3.650339196,7.619843544,1.691534443,0.293621089,0.031120375,0.675
PP48.000016,48.6,0.017859767,0.054761395,0.0511089,1.851,0.5034864,2.637847599,5.452124778,1.180409975,0.221306528,0.0081883,0.61
SW48.000000,71.8,0.02352655,0.072136816,0.07617344,3.1922091,0.5504772,3.497383902,7.771264399,1.537193652,0.264028542,NA,0.623333333
SW48.000001,70.7,0.021304746,0.065324347,0.07716192,3.2951217,0.5787886,3.339315446,7.957219567,1.647838609,0.252663369,NA,0.633333333
SW48.000002,28.7,0.011855051,0.036349811,NA,1.0887,0.4689834,1.53433413,3.318961399,0.66286251,0.115268339,NA,0.68
SW48.000003,73,0.02380278,0.07298379,0.0583808,3.0574426,0.7844394,3.501565764,7.666008715,1.587538626,0.254978529,NA,0.613333333
SW48.000004,71.2,0.022749354,0.069753789,0.08111584,3.0476414,0.5069212,3.40401749,7.884616512,1.622868693,0.265832967,NA,0.566666667
SW48.000005,53.2,0.021689303,0.066503472,0.18391776,2.0185154,0.9914574,3.616072455,5.988343615,0.980942005,0.206280038,0.005293063,0.693333333
SW48.000006,70.2,0.022884588,0.070168441,0.05244992,3.1600966,0.530877,3.622556052,7.557719789,1.608540803,0.275668589,NA,0.696666667
SW48.000007,71.8,0.023089826,0.070797737,0.2421193,3.205,0.9865284,4.556651863,7.530564771,1.70564606,0.304350986,0.004992158,0.69
SW48.000008,72.1,0.083523478,0.256098654,0.29759296,3.738626,1.0777149,4.307917707,7.243651261,1.588102046,0.666514789,NA,0.676666667
SW48.000009,70.3,0.024547927,0.075268549,0.07518496,3.1137995,0.8140134,3.539442465,8.238364255,1.641781435,0.266416024,NA,0.616666667
SW48.000010,68.4,0.022980253,0.070461768,0.05146144,2.8516174,0.6963898,3.266789873,7.840835422,1.49398021,0.260612645,NA,0.62
SW48.000011,35,0.020060224,0.061508411,0.066527,1.0996529,0.2673632,1.566867137,5.212762522,0.6655739,0.133395717,0.003724639,0.64
SW48.000012,72.3,0.021061432,0.064578301,0.0718709,2.9016,0.6981819,3.923534125,8.243652841,1.818064501,0.292076854,NA,0.716666667
SW48.000013,61.3,0.02000653,0.061343775,0.0635661,2.489,0.6550116,3.258623905,7.087244637,1.606542307,0.263714467,NA,0.636666667
SW48.000014,165,0.04329024,0.132735996,0.05936928,2.881021,0.7399458,2.841061418,7.564867707,1.543507783,0.29618708,NA,0.59
SW48.000015,67.2,0.02717993,0.083338765,0.08210432,3.0623432,0.5439438,3.528452175,7.970088751,1.644433295,0.265540517,NA,0.613333333
SW48.000016,69.4,0.024231775,0.074299169,0.0534384,2.979033,0.6365694,3.616135461,8.151884793,1.706154294,0.291413796,0.001748279,0.623333333
