,PP48.000000,PP48.000001,PP48.000002,PP48.000003,PP48.000004,PP48.000005,PP48.000006,PP48.000007,PP48.000008,PP48.000009,PP48.000010,PP48.000011,PP48.000013,PP48.000014,PP48.000015,PP48.000016,SW48.000000,SW48.000001,SW48.000002,SW48.000003,SW48.000004,SW48.000005,SW48.000006,SW48.000007,SW48.000008,SW48.000009,SW48.000010,SW48.000011,SW48.000012,SW48.000013,SW48.000014,SW48.000015,SW48.000016
PP48.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000001,10.2502903810571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000002,7.6966442905475,7.67665833661985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000003,10.8230547712366,11.8099754210091,6.5764186712837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000004,11.5503569365275,9.98483181008414,8.12022527319896,8.59583802436948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000005,10.3701915467196,11.4376227394136,5.91710012269153,7.15542991807186,10.2112551235712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000006,9.77757933290928,10.2685773650038,6.6628731034344,10.1936793219462,8.87689040158384,6.57178492481312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000007,9.31094856835814,9.62507942331155,4.68464124585495,8.16868332065337,5.76272788550153,7.42183109041472,7.4087318044699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000008,10.2283119119586,10.1093028946899,5.9531311360488,9.71701730781435,7.3804183577201,7.91270114248532,6.56424772745953,8.32676223113266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000009,10.4191352689628,10.4110983478689,7.61538171770482,7.87076310369569,9.92887268438815,6.57076530376274,7.8159480604822,6.79109756815586,8.32163528025974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000010,16.4760413229576,13.2067342822311,14.1171364212901,12.0720612342977,11.1646325715997,15.1989644710538,16.00580620675,11.6585890575417,12.4683543056855,15.7923751162577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000011,10.8050989163258,9.49817433247123,5.70324573085898,8.86024409874691,5.81980273099948,6.0022190251599,5.90428179184519,4.53342827465314,4.78630972091018,6.89522346995847,11.6680041399544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000013,10.413299077425,9.42041197262178,5.97224683375668,8.28123456313044,8.19294822942346,6.06583387211105,7.38033856009871,4.45167717729297,7.98378434038769,8.27138618214021,12.7336930232203,4.21917554177045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000014,10.3276855505908,8.74282294520749,4.93962755142456,7.56520876182422,9.03272780431194,6.3814440101107,7.73783729913571,5.59088499005192,7.39517295869047,7.20503646411078,12.9392979072834,5.3393493439049,5.95271641237513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000015,12.0177991966043,9.78328126073848,7.29786607348954,8.05588428210982,7.72779844045686,6.87726916645392,7.410090313828,5.39201413611454,5.774539431436,8.08269289976159,13.3321330634128,5.28741506487295,5.05650279858296,5.5658620408216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP48.000016,10.867073380042,9.64995209991327,4.23742212331702,8.90035764199661,8.29998427910232,5.63474208489516,6.44099201264996,4.95899122852906,6.43603537916753,7.06713583976487,13.731634766079,5.39227757452036,5.53381772377097,5.93540112645716,6.17031400333501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW48.000000,9.03542591242351,11.3860250276601,5.46585617802743,8.81278876115436,8.79470106371887,6.43347760338582,6.42551812725733,6.5584304130561,6.16115648114737,7.05187158743062,13.7401037865613,4.76838427800498,7.09138178491816,7.86373040436188,8.73794799723799,4.79463062622539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW48.000001,11.0529063473529,10.4115568703373,5.93372179568798,11.8262406545402,8.77726649959337,7.45915563887799,7.98286996163709,5.90145434088513,6.10939088958338,5.77651847196494,14.9162022865514,6.35849219491795,7.34386615867446,6.28225311713799,7.66757546208671,4.86741822705061,5.51812471698749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
