,C,H,O,N,C13,S,P,Na,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect,NOSC,GFE,AI,AI_Mod,DBE,DBE_O,DBE_AI,ElComposition,bs1_class,bs2_class,bs3_class
200.001571,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,199.77824745909,0.22175254090962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.018993,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,199.79565000553,0.204349994470476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.038394,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,199.8150293422,0.184970657800392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.055448,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,199.832064299551,0.167935700449135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.056462,8,11,5,1,0,0,0,0,C8H11NO5,0.625,1.375,0.125,0,NA,199.833077167309,0.166922832690602,0.25,53.175,0,0.111111111111111,4,-1,-2,CHNO,Lignin,Lignin,Other
200.062649,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,199.83925725885,0.160742741150102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.085109,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,199.861692179813,0.138307820186753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.0928537,9,15,4,1,0,0,0,0,C9H15NO4,0.444444444444444,1.66666666666667,0.111111111111111,0,NA,199.869428232012,0.130571767987931,-0.444444444444445,72.9666666666667,0,0,3,-1,-2,CHNO,Protein,Protein,Other
200.114901,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,199.8914509138,0.108549086200071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.122164,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,199.898705803869,0.101294196130766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.1292418,10,19,3,1,0,0,0,0,C10H19NO3,0.3,1.9,0.1,0,NA,199.905775700735,0.0942242992654769,-1,88.8,0,0,2,-1,-2,CHNO,Lipid,Lipid,Other
200.130808,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,199.907340151902,0.0926598480983785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.141243,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,199.917763500087,0.0822364999125966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.149684,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,199.926195074791,0.0738049252086057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.15738,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,199.933882481369,0.066117518630989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.165595,11,23,2,1,0,0,0,0,C11H23NO2,0.181818181818182,2.09090909090909,0.0909090909090909,0,NA,199.942088308427,0.0579116915733664,-1.45454545454545,101.754545454545,0,0,1,-1,-2,CHNO,Lipid,Lipid,Other
